,Branch_ID,Branch_Name,Region,Customer_ID,Customer_Name,Gender,Age,Credit_Type,Credit_Amount,Interest_Rate,Loan_Term_Months,Start_Date,Payment_Status,Income_Level,Marital_Status,Occupation,Account_Balance,Credit_Score,Region_Code,Risk_Level,region,district,district_population,branch_count,clients_in_district_rows,active_clients_district,need_for_bank_service
0,118,Xorazm,Surxondaryo viloyati - Sherobod,d19911e6-91ca-43cb-a47e-cc29c24337b1,Brittany Aguilar,ayol,19,Ipoteka,340368908,14.32,48,2022-11-26,Kechikkan,O'rtacha,Yolg'iz,Tadbirkor,19172711,723,9,Past,Jizzax,G‘allaorol,17080,1,240,1129,0.934
1,606,Andijon,Samarqand viloyati - Kattaqo‘rg‘on,40fba3a7-bbaa-4da7-8cdf-cd44c66f2ba2,James Carpenter,ayol,40,Biznes,294857793,23.23,24,2022-03-15,Jarayonda,O'rtacha,Turmush qurgan,Tadbirkor,44163771,559,10,O'rtacha,Andijon,Andijon,535564,6,230,5751,0.989
2,954,Namangan,Buxoro viloyati - Kogon,f955d5c8-1374-4346-998b-97120cb3b72c,Jorge Parks,ayol,48,Fermerlik,244907261,13.34,72,2024-08-24,Jarayonda,Past,Turmush qurgan,Talaba,75480208,384,12,Yuqori,Jizzax,Do‘stlik,92508,1,249,6524,0.929
3,131,Navoiy,Jizzax viloyati - Jizzax,87d64892-6672-4706-a3c3-505171369658,Manuel Richards,erkak,62,Fermerlik,431885936,17.98,72,2020-10-17,To'langan,Past,Turmush qurgan,O'qituvchi,67790378,731,5,Yuqori,Toshkent shahri,Shayxontohur,680292,7,83,77932,0.885
4,202,Sirdaryo,Xorazm viloyati - Yangibozor,442ba79e-91fd-44c2-9fe8-1226d861b7d1,Nicole Vargas,erkak,28,Fermerlik,90015033,15.26,60,2021-01-07,Jarayonda,Yuqori,Turmush qurgan,Talaba,51483536,839,11,O'rtacha,Jizzax,Jizzax,78543,1,235,3949,0.95
5,945,Buxoro,Farg‘ona viloyati - Marg‘ilon,9a98443d-47f6-4c00-87f6-fe71a4cc8d66,Elizabeth Johnson,erkak,37,Fermerlik,435626937,15.17,36,2021-03-04,Kechikkan,O'rtacha,Yolg'iz,Talaba,16720887,582,15,O'rtacha,Qashqadaryo,Beshkent,21916,0,78,1784,0.919
6,772,Toshkent,Xorazm viloyati - Xiva,d0b45302-0997-4bc5-8c9b-36bb80c2c24c,Robert Lopez,ayol,47,Ta'lim,301109971,11.39,48,2025-05-28,To'langan,Yuqori,Yolg'iz,Fermer,69571563,537,4,O'rtacha,Jizzax,Jizzax,78543,2,235,3949,0.95
7,384,Andijon,Sirdaryo viloyati - Sirdaryo,3ca9895c-a5da-4481-90ed-c395115d4539,Gabrielle Bradshaw,ayol,18,Fermerlik,260883082,15.53,60,2023-03-19,Jarayonda,Past,Turmush qurgan,Ishchi,75816140,331,1,O'rtacha,Navoiy,Qiziltepa,13911,0,247,598,0.957
8,499,Jizzax,Qashqadaryo viloyati - Qarshi,64bc511f-4384-4ca0-817c-17078488471f,Dr. James Lee,ayol,69,Avtokredit,78639089,12.8,36,2023-03-15,Jarayonda,Past,Yolg'iz,Fermer,92643382,511,15,O'rtacha,Fargʻona,Farg‘ona,152849,2,234,5735,0.962
9,303,Jizzax,Andijon viloyati - Asaka,751f8723-866b-4638-a53a-7f911bd78e17,Steven Wilson,erkak,60,Ta'lim,351882458,24.37,60,2021-04-22,Kechikkan,O'rtacha,Turmush qurgan,Fermer,27186951,781,14,Yuqori,Buxoro,G‘ijduvon,62601,2,233,6501,0.896
